Metagene,Cell type
CD28,T cells
CD3D,T cells
CD3E,T cells
CD3G,T cells
CD5,T cells
ITK,T cells
TBX21,T cells
TRAC,T cells
TRAT1,T cells
TRBC1,T cells
TRBC2,T cells
CD160,NK cells
CD226,NK cells
CD244,NK cells
EOMES,NK cells
FGFBP2,NK cells
GNLY,NK cells
GZMB,NK cells
GZMH,NK cells
IFNG,NK cells
KIR2DL4,NK cells
KLRC2,NK cells
KLRF1,NK cells
KLRK1,NK cells
NCR1,NK cells
NCR3,NK cells
NKG7,NK cells
SH2D1B,NK cells
CD8A,Effector cells
CD8B,Effector cells
EOMES,Effector cells
FASLG,Effector cells
GNLY,Effector cells
GZMA,Effector cells
GZMB,Effector cells
GZMK,Effector cells
IFNG,Effector cells
PRF1,Effector cells
TBX21,Effector cells
ZAP70,Effector cells
BLK,B cells
CD19,B cells
CD22,B cells
CD79A,B cells
CD79B,B cells
CR2,B cells
FCRL5,B cells
MS4A1,B cells
PAX5,B cells
STAP1,B cells
TNFRSF13B,B cells
TNFRSF13C,B cells
TNFRSF17,B cells
CD40LG,Th1 cells
IFNG,Th1 cells
IL12RB2,Th1 cells
IL2,Th1 cells
IL21,Th1 cells
STAT4,Th1 cells
TBX21,Th1 cells
CCR4,Th2 cells
IL10,Th2 cells
IL13,Th2 cells
IL4,Th2 cells
IL5,Th2 cells
ABP1,Th17 cells
B4GALNT4,Th17 cells
C2CD4A,Th17 cells
C2CD4B,Th17 cells
CA2,Th17 cells
CCDC65,Th17 cells
CEACAM3,Th17 cells
CHRM3,Th17 cells
DOC2B,Th17 cells
F12,Th17 cells
FURIN,Th17 cells
GPR25,Th17 cells
IL17A,Th17 cells
IL17C,Th17 cells
IL17F,Th17 cells
IL17RC,Th17 cells
IL17RE,Th17 cells
IL23A,Th17 cells
ILDR1,Th17 cells
LONRF3,Th17 cells
LTK,Th17 cells
MOCOS,Th17 cells
SH2D6,Th17 cells
TNIP2,Th17 cells
TRAF3IP2,Th17 cells
YBX2,Th17 cells
CCR8,Treg cells
CTLA4,Treg cells
FOXP3,Treg cells
IKZF2,Treg cells
IKZF4,Treg cells
IL10,Treg cells
TNFRSF18,Treg cells
PDCD1,Tfh cells
CXCL13,Tfh cells
CXCR5,Tfh cells
CMKLR1,M1 macrophages
IL12A,M1 macrophages
IL12B,M1 macrophages
IL1B,M1 macrophages
IL23A,M1 macrophages
IRF5,M1 macrophages
NOS2,M1 macrophages
SOCS3,M1 macrophages
